title,body,labels,milestone
G1.6 — Display confidence bars,"## ID
G1.6

## Description
Show confidence score visually.

## Estimate
S

## Acceptance Criteria
- Each prediction has progress bar.
- Percentage labels are readable.
- Bars do not imply clinical certainty.
- Confidence explanation available.

## Dependencies
G1.5
","P0 Must-have, Frontend, Week 3",Week 3
G1.7 — Display uncertainty indicator,"## ID
G1.7

## Description
Show low/medium/high uncertainty and explanation.

## Estimate
S

## Acceptance Criteria
- Uncertainty bucket displayed.
- Short explanation shown.
- Copy says model confidence is not clinical certainty.
- Works for all bucket values.

## Dependencies
F1.4, G1.5
","P0 Must-have, Frontend, Safety, Week 3",Week 3
H1.1 — Write reasoning templates for 4 classes,"## ID
H1.1

## Description
Write safe static reasoning templates for each class.

## Estimate
S

## Acceptance Criteria
- Template for melanoma.
- Template for benign nevus.
- Template for eczema / dermatitis.
- Template for other / unclear.
- No treatment advice.
- No diagnostic certainty.

## Dependencies
A1.1
","P0 Must-have, Product, Safety, Week 3",Week 3
H1.2 — Add visual-feature bullet lists per class,"## ID
H1.2

## Description
Create visual-feature bullets per predicted top class.

## Estimate
S

## Acceptance Criteria
- Each class has 3–5 visual features.
- Features are educational and cautious.
- Melanoma includes asymmetry, border, color variation.
- Eczema includes inflammation/scaling language.
- Other / unclear explains ambiguity.

## Dependencies
H1.1
","P0 Must-have, Product, Frontend, Week 3",Week 3
H1.3 — Render reasoning panel,"## ID
H1.3

## Description
Display reasoning template and visual features based on top-1 class.

## Estimate
S

## Acceptance Criteria
- Correct template selected from top-1 class.
- Visual features shown as bullets.
- Text is scannable.
- Result remains educational.

## Dependencies
G1.5, H1.2
","P0 Must-have, Frontend, Week 3",Week 3
H1.4 — Write suggested Q&A for each class,"## ID
H1.4

## Description
Create three suggested learning questions and answers per class.

## Estimate
S

## Acceptance Criteria
- 3 Q&As for melanoma.
- 3 Q&As for benign nevus.
- 3 Q&As for eczema / dermatitis.
- 3 Q&As for other / unclear.
- Answers avoid diagnosis and treatment advice.

## Dependencies
H1.1
","P1 Should-have, Product, Frontend, Week 3",Week 3
H1.5 — Render Q&A accordion,"## ID
H1.5

## Description
Show suggested learning questions in expandable UI.

## Estimate
S

## Acceptance Criteria
- Three questions shown.
- Answers expand/collapse.
- Q&A is based on top-1 class.
- No free-form chatbot input.

## Dependencies
H1.4
","P1 Should-have, Frontend, Week 3",Week 3
I1.1 — Add educational-only disclaimer,"## ID
I1.1

## Description
Add persistent disclaimer.

## Estimate
S

## Acceptance Criteria
- Disclaimer visible before and after upload.
- Says educational training aid only.
- Says not for diagnosis or patient care.
- Does not disappear after result.

## Dependencies
G1.1
","P0 Must-have, Safety, Frontend, Week 3",Week 3
I1.2 — Add non-diagnostic wording audit,"## ID
I1.2

## Description
Audit all app copy for unsafe diagnostic wording.

## Estimate
S

## Acceptance Criteria
- No 'you have X'.
- No 'diagnosis result'.
- No 'confirmed melanoma'.
- Uses 'differential suggestion' and 'may be consistent with'.
- Audit checklist saved.

## Dependencies
G1.5, H1.3
","P0 Must-have, Safety, Product, QA, Week 3",Week 3
I1.3 — Add skin-tone reliability note,"## ID
I1.3

## Description
Show limitation note about skin tone, lighting, image quality, and dataset coverage.

## Estimate
S

## Acceptance Criteria
- Note appears on every result.
- Copy does not claim model is fair.
- Copy says reliability may vary.
- If no slice evaluation exists, limitation is explicit.

## Dependencies
G1.5
","P0 Must-have, Safety, Frontend, Week 3",Week 3
I1.4 — Build model/dataset transparency panel,"## ID
I1.4

## Description
Add expandable panel explaining model, dataset, classes, metrics, and limitations.

## Estimate
S

## Acceptance Criteria
- Dataset source shown.
- Model type shown.
- Classes shown.
- Evaluation metrics shown.
- Clinical-use limitation shown.
- Skin-tone metadata limitation shown.

## Dependencies
B1.7, E1.5
","P0 Must-have, Safety, Documentation, Frontend, Week 3",Week 3
I1.5 — Write model card,"## ID
I1.5

## Description
Create a model card for the CNN.

## Estimate
S

## Acceptance Criteria
- Model version included.
- Intended use included.
- Out-of-scope use included.
- Dataset described.
- Evaluation metrics included.
- Limitations included.
- Safety warnings included.

## Dependencies
E1.5, I1.4
","P0 Must-have, Documentation, Safety, Week 3",Week 3
J1.1 — Design quiz mode flow,"## ID
J1.1

## Description
Define the quiz mode behavior.

## Estimate
S

## Acceptance Criteria
- Quiz starts after image upload.
- User chooses one of four classes.
- Result hidden before submit.
- CNN output revealed after submit.
- Correctness language is educational and cautious.

## Dependencies
G1.2
","P1 Should-have, Product, Frontend, Week 3",Week 3
J1.2 — Implement quiz answer selection,"## ID
J1.2

## Description
Add four answer options.

## Estimate
S

## Acceptance Criteria
- Options shown: Melanoma, Benign nevus, Eczema / dermatitis, Other / unclear.
- User can select one option.
- Submit button available.
- Result hidden before submit.

## Dependencies
J1.1
","P1 Should-have, Frontend, Week 3",Week 3
J1.3 — Reveal CNN result after quiz submit,"## ID
J1.3

## Description
Show model output after user submits quiz answer.

## Estimate
S

## Acceptance Criteria
- User sees selected answer.
- User sees top-3 CNN result.
- User sees confidence and uncertainty.
- User sees reasoning and safety notes.
- State resets when new image is uploaded.

## Dependencies
J1.2, G1.5
","P1 Should-have, Frontend, Integration, Week 3",Week 3
K1.1 — Create post-test survey,"## ID
K1.1

## Description
Create short survey for prototype testing.

## Estimate
S

## Acceptance Criteria
- Survey includes usefulness rating.
- Survey includes top-3 preference question.
- Survey includes confidence/uncertainty usefulness question.
- Survey includes educational positioning check.
- Survey includes free-text improvement question.

## Dependencies
A1.3
","P0 Must-have, Research, Evaluation, Week 3",Week 3
K1.2 — Add feedback form to app,"## ID
K1.2

## Description
Add simple in-app feedback form or link to external survey.

## Estimate
S

## Acceptance Criteria
- User can rate usefulness.
- User can add comment.
- Data is saved locally or linked externally.
- No personal medical data collected.

## Dependencies
K1.1
","P1 Should-have, Frontend, Evaluation, Week 3",Week 3
K1.3 — Run user testing with 3–5 participants,"## ID
K1.3

## Description
Run quick usability/value testing.

## Estimate
S

## Acceptance Criteria
- At least 3 users test prototype.
- Users complete upload-to-result flow.
- Survey responses collected.
- Key observations summarized.

## Dependencies
G1.4, K1.1
","P0 Must-have, Research, Evaluation, Week 3",Week 3
K1.4 — Summarize validation findings,"## ID
K1.4

## Description
Summarize whether the MVP hypothesis was supported.

## Estimate
S

## Acceptance Criteria
- Number of participants reported.
- Primary success metric calculated.
- Key qualitative feedback summarized.
- Decision made: hypothesis supported, partially supported, or not supported.
- Next iteration recommendations listed.

## Dependencies
K1.3
","P0 Must-have, Research, Documentation, Week 3",Week 3
L1.1 — Create demo image set,"## ID
L1.1

## Description
Prepare 3–5 demo images.

## Estimate
S

## Acceptance Criteria
- Demo images selected.
- Expected model outputs documented.
- Image licenses/source documented if needed.
- At least one melanoma-like example included.

## Dependencies
D1.7
","P0 Must-have, Demo, QA, Week 3",Week 3
L1.2 — Run end-to-end smoke test,"## ID
L1.2

## Description
Test upload → inference → result flow.

## Estimate
S

## Acceptance Criteria
- Upload works.
- CNN inference runs.
- Top-3 result displays.
- Safety notes display.
- No crash on demo images.

## Dependencies
G1.4, F1.6
","P0 Must-have, QA, Integration, Week 3",Week 3
L1.3 — Test invalid inputs,"## ID
L1.3

## Description
Test unsupported or problematic input.

## Estimate
S

## Acceptance Criteria
- Non-image file rejected.
- Missing file handled.
- Large image handled or rejected gracefully.
- Corrupt image does not crash app.
- Error message is understandable.

## Dependencies
L1.2
","P1 Should-have, QA, Frontend, Backend, Week 3",Week 3
L1.4 — Measure local inference time,"## ID
L1.4

## Description
Measure how long prediction takes locally.

## Estimate
S

## Acceptance Criteria
- Inference time measured on demo images.
- Median time reported.
- Target: under 10 seconds locally.
- If slower, limitation documented.

## Dependencies
F1.6
","P1 Should-have, Evaluation, Backend, Week 3",Week 3
L1.5 — Final demo rehearsal,"## ID
L1.5

## Description
Run full demo before presentation.

## Estimate
S

## Acceptance Criteria
- Demo works 3 times in a row.
- Team roles agreed.
- Backup screenshots prepared.
- Known limitations ready to explain.

## Dependencies
L1.1, L1.2, I1.5
","P0 Must-have, Demo, QA, Week 3",Week 3
M1.1 — Write README setup instructions,"## ID
M1.1

## Description
Document how to run the app locally.

## Estimate
S

## Acceptance Criteria
- Installation steps included.
- Dataset/model setup steps included.
- App run command included.
- Common errors documented.
- New person can run app from README.

## Dependencies
L1.2
","P0 Must-have, Documentation, Week 3",Week 3
M1.2 — Create architecture diagram,"## ID
M1.2

## Description
Create visual architecture diagram.

## Estimate
S

## Acceptance Criteria
- Shows upload UI.
- Shows preprocessing.
- Shows CNN inference.
- Shows top-3 post-processing.
- Shows result UI.
- Shows Week 4 LLM extension separately.

## Dependencies
F1.6
","P0 Must-have, Documentation, Demo, Week 3",Week 3
M1.3 — Prepare final demo script,"## ID
M1.3

## Description
Write 5-minute demo script.

## Estimate
S

## Acceptance Criteria
- Problem explained.
- User explained.
- CNN workflow demonstrated.
- Metrics shown.
- Safety limitations explained.
- Week 4 LLM extension mentioned.

## Dependencies
L1.5, E1.5
","P0 Must-have, Demo, Product, Week 3",Week 3
M1.4 — Prepare final presentation deck,"## ID
M1.4

## Description
Create final project presentation.

## Estimate
M

## Acceptance Criteria
- Includes MVP scope.
- Includes hypothesis.
- Includes user research findings.
- Includes model metrics.
- Includes product demo.
- Includes safety/fairness limitations.
- Includes Week 4 extension roadmap.

## Dependencies
M1.2, M1.3, K1.4
","P0 Must-have, Demo, Documentation, Week 3",Week 3
N1.1 — Define LLM role and boundaries,"## ID
N1.1

## Description
Define what the LLM is and is not allowed to do.

## Estimate
S

## Acceptance Criteria
- LLM role documented as explainer only.
- LLM does not classify image.
- LLM cannot diagnose.
- LLM cannot recommend treatment.
- Banned phrases documented.
- Approved wording documented.

## Dependencies
I1.5
","P0 Must-have, LLM, Safety, Week 4",Week 4
N1.2 — Create LLM prompt template,"## ID
N1.2

## Description
Create prompt that converts CNN output into educational reasoning.

## Estimate
M

## Acceptance Criteria
- Prompt accepts top-3 labels.
- Prompt accepts confidence scores.
- Prompt accepts uncertainty bucket.
- Prompt accepts visual-feature list.
- Prompt returns structured output.
- Prompt includes safety instructions.

## Dependencies
N1.1
","P0 Must-have, LLM, Backend, Week 4",Week 4
N1.3 — Define LLM output schema,"## ID
N1.3

## Description
Define strict response schema for LLM explanations.

## Estimate
S

## Acceptance Criteria
- Schema includes reasoning summary.
- Schema includes visual-feature explanation.
- Schema includes alternative considerations.
- Schema includes three Q&As.
- Schema includes safety note.
- Invalid response behavior documented.

## Dependencies
N1.2
","P0 Must-have, LLM, Backend, Frontend, Week 4",Week 4
N1.4 — Build LLM explain function or endpoint,"## ID
N1.4

## Description
Call LLM with structured CNN output and return explanation JSON.

## Estimate
M

## Acceptance Criteria
- Receives CNN result JSON.
- Calls LLM server-side.
- API key stored in environment variable.
- No key exposed in frontend.
- Returns schema-compliant output.
- Handles timeout/failure.

## Dependencies
N1.3
","P0 Must-have, LLM, Backend, Week 4",Week 4
N1.5 — Add fallback to static templates,"## ID
N1.5

## Description
Use Week 3 templates if LLM fails.

## Estimate
S

## Acceptance Criteria
- App does not crash if LLM fails.
- Static template appears as fallback.
- UI labels explanation source.
- Error logged for debugging.

## Dependencies
N1.4
","P0 Must-have, LLM, Safety, Backend, Week 4",Week 4
N1.6 — Validate LLM output,"## ID
N1.6

## Description
Validate schema and block unsafe text.

## Estimate
M

## Acceptance Criteria
- Missing fields detected.
- Invalid JSON handled.
- Banned phrases detected.
- Fallback used if validation fails.
- Validation tests added.

## Dependencies
N1.3, N1.5
","P1 Should-have, LLM, Safety, Backend, Week 4",Week 4
N1.7 — Connect LLM output to frontend,"## ID
N1.7

## Description
Display LLM-generated explanation in results UI.

## Estimate
S

## Acceptance Criteria
- LLM explanation shown below CNN top-3 result.
- CNN prediction remains visually primary.
- Explanation labeled educational.
- Explanation source shown: LLM or template.
- No free-form chatbot input.

## Dependencies
N1.4, N1.5
","P0 Must-have, LLM, Frontend, Integration, Week 4",Week 4
N1.8 — Display LLM-generated Q&A,"## ID
N1.8

## Description
Render learning questions generated by the LLM.

## Estimate
S

## Acceptance Criteria
- Three Q&As displayed.
- Answers expandable.
- No free-form user questions.
- Content remains educational.

## Dependencies
N1.7
","P0 Must-have, LLM, Frontend, Week 4",Week 4
N1.9 — Create LLM safety test cases,"## ID
N1.9

## Description
Create test cases to check unsafe LLM behavior.

## Estimate
S

## Acceptance Criteria
- At least 8 test inputs created.
- Includes all 4 classes.
- Includes low-confidence examples.
- Includes melanoma examples.
- Expected safe behavior documented.

## Dependencies
N1.2
","P0 Must-have, LLM, Safety, QA, Week 4",Week 4
N1.10 — Run LLM safety review,"## ID
N1.10

## Description
Review generated explanations for unsafe claims.

## Estimate
M

## Acceptance Criteria
- No 'you have X' wording.
- No treatment recommendations.
- No clinical certainty claims.
- No contradiction of CNN output.
- Safety issues documented and fixed.

## Dependencies
N1.8, N1.9
","P0 Must-have, LLM, Safety, QA, Week 4",Week 4
N1.11 — Update README for Week 4 LLM extension,"## ID
N1.11

## Description
Document LLM integration, safety boundaries, and fallback behavior.

## Estimate
S

## Acceptance Criteria
- CNN vs LLM responsibilities explained.
- LLM setup instructions added.
- Environment variables documented.
- Fallback behavior documented.
- LLM limitations documented.

## Dependencies
N1.10
","P0 Must-have, Documentation, LLM, Week 4",Week 4
O1.1 — Create GitHub labels,"## ID
O1.1

## Description
Create standard labels.

## Estimate
S

## Acceptance Criteria
- Priority labels created.
- Week labels created.
- Component labels created.
- Risk label created.
- Team agrees on label usage.

## Dependencies
None.
","P0 Must-have, Product, Week 1",Week 1
O1.2 — Create GitHub milestones,"## ID
O1.2

## Description
Create project milestones.

## Estimate
S

## Acceptance Criteria
- Week 1 milestone created.
- Week 2 milestone created.
- Week 3 milestone created.
- Week 4 milestone created.
- Issues assigned to milestones.

## Dependencies
O1.1
","P0 Must-have, Product, Week 1",Week 1
O1.3 — Add all MVP tasks to GitHub project,"## ID
O1.3

## Description
Create GitHub issues for all tasks.

## Estimate
S

## Acceptance Criteria
- Issues added as real GitHub issues, not drafts.
- Each issue has labels.
- Each issue has acceptance criteria.
- Each issue has dependencies if relevant.
- Issues added to project board.

## Dependencies
O1.2
","P0 Must-have, Product, Week 1",Week 1
O1.4 — Daily board review,"## ID
O1.4

## Description
Review board daily and update task status.

## Estimate
S recurring

## Acceptance Criteria
- Blocked tasks identified.
- In-progress work limited.
- Done tasks verified.
- Scope creep moved to later.

## Dependencies
O1.3
","P1 Should-have, Product, Week 1, Week 2, Week 3, Week 4",Week 1
